case_id,dataset_name,agent_mode,tags,protocol_completed,execution_success,answer_grounded,result_correct,failure_kind,termination_reason,first_execution_success,repair_succeeded,total_llm_turns,total_tool_calls,total_sql_executions,invalid_tool_calls,repeated_tool_calls,unsafe_sql_count,total_duration_ms,final_sql,final_answer,actual_tool_sequence,error_message
fsq_s04,fsq_shanghai_business_v2,function-calling,"[""single_table"", ""easy""]",True,True,True,True,,completed,False,True,4,3,2,0,0,0,2134.5164626836777,SELECT COUNT(*) FROM places WHERE date_closed IS NOT NULL;,目前记录为已经关闭的地点共有5522个。,"[""execute_sql"", ""inspect_schema"", ""execute_sql""]",
fsq_a05,fsq_shanghai_business_v2,function-calling,"[""aggregate_topk"", ""medium""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,4159.003496170044,"SELECT strftime('%Y', date_refreshed) AS year, COUNT(*) AS count FROM places GROUP BY year ORDER BY count DESC LIMIT 5;",按最近更新时间看，记录量最多的五个年份是：2025年（15009条记录）、2019年（14740条记录）、2026年（13663条记录）、2018年（11626条记录）和2017年（7809条记录）。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_c05,fsq_shanghai_business_v2,function-calling,"[""category_join"", ""hard""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,6028.453633189201,"SELECT categories.category_name, COUNT(DISTINCT place_categories.fsq_place_id) AS place_count FROM place_categories JOIN categories ON place_categories.category_id = categories.category_id GROUP BY categories.category_name ORDER BY place_count DESC LIMIT 10;","在同时标注了多种类型的地点中，涉及的地点类型按数量列出前十种如下：

1. Chinese Restaurant - 6715
2. Office - 3335
3. Coffee Shop - 3290
4. Japanese Restaurant - 2758
5. Café - 2741
6. Hotel - 2318
7. Apartment or Condo - 1861
8. Noodle Restaurant - 1797
9. Fast Food Restaurant - 1609
10. Asian Restaurant - 1554","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_c04,fsq_shanghai_business_v2,function-calling,"[""category_join"", ""medium""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,3824.1679668426514,SELECT COUNT(DISTINCT places.fsq_place_id) FROM places JOIN place_categories ON places.fsq_place_id = place_categories.fsq_place_id GROUP BY places.fsq_place_id HAVING COUNT(DISTINCT place_categories.category_id) > 1;,被标注为多种类型的地点一共有100个。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_s06,fsq_shanghai_business_v2,function-calling,"[""single_table"", ""easy""]",True,True,True,True,,completed,True,,3,2,1,0,0,0,2375.9983479976654,"SELECT MAX(date_refreshed) AS latest_update_date, COUNT(*) AS updated_places_count FROM places WHERE date_refreshed IS NOT NULL AND date_refreshed = (SELECT MAX(date_refreshed) FROM places);",数据库中最近一次地点更新时间是2026-07-08，这一天共有280个地点被更新。,"[""inspect_schema"", ""execute_sql""]",
fsq_s01,fsq_shanghai_business_v2,function-calling,"[""single_table"", ""easy""]",True,True,True,True,,completed,True,,2,1,1,0,0,0,871.0357248783112,SELECT COUNT(*) AS total_places FROM places;,上海地点库一共收录了91770个地点。,"[""execute_sql""]",
fsq_a02,fsq_shanghai_business_v2,function-calling,"[""aggregate_topk"", ""medium""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,5383.484125137329,"SELECT name, COUNT(*) as count FROM places GROUP BY name ORDER BY count DESC LIMIT 10;","重名地点最多的十个名称及其出现次数如下：

1. 星巴克 - 518个
2. FamilyMart 全家 - 310个
3. McDonald's (麦当劳) - 252个
4. Starbucks (星巴克) - 233个
5. Manner Coffee - 203个
6. LAWSON 罗森 - 202个
7. Industrial and Commercial Bank of China (ICBC) 中国工商银行 - 164个
8. KFC (肯德基) - 150个
9. 85°C Bakery Café (85度C) - 119个
10. Costa Coffee 咖世家 - 103个","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_q01,fsq_shanghai_business_v2,function-calling,"[""quality"", ""medium""]",True,True,True,True,,completed,True,,2,1,1,0,0,0,1328.3152729272842,SELECT COUNT(*) FROM places LEFT JOIN place_categories ON places.fsq_place_id = place_categories.fsq_place_id WHERE place_categories.category_id IS NULL;,共有 4615 个地点尚未被标注任何分类。,"[""execute_sql""]",
fsq_q04,fsq_shanghai_business_v2,function-calling,"[""quality"", ""easy""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,6105.432361364365,"SELECT name, date_closed FROM places WHERE date_closed IS NOT NULL ORDER BY date_closed DESC LIMIT 10;","最近关闭的十个地点如下：

1. Delta Sky Club - 2026-07-07
2. Wagas - 2026-07-05
3. Audemars Piguet Royal Lounge Shop - 2026-06-28
4. Audemars Piguet - 2026-06-28
5. De Kroon / VIP Lounge Netherlands Pavilion - 2026-06-22
6. Zhabei Stadium - 2026-06-20
7. Bi Feng Tang - 2026-06-20
8. Nar Café & Catering - 2026-06-18
9. 水舞馔 - 2026-06-14
10. Shanghai Natural History Museum - 2026-06-06","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_c01,fsq_shanghai_business_v2,function-calling,"[""category_join"", ""medium""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,6844.359740614891,"SELECT categories.category_name, COUNT(DISTINCT place_categories.fsq_place_id) as place_count FROM places JOIN place_categories ON places.fsq_place_id = place_categories.fsq_place_id JOIN categories ON place_categories.category_id = categories.category_id GROUP BY categories.category_name ORDER BY place_count DESC LIMIT 10;","上海最常见的十种地点类型如下：

1. **Chinese Restaurant** - 6715
2. **Office** - 3335
3. **Coffee Shop** - 3290
4. **Japanese Restaurant** - 2758
5. **Café** - 2741
6. **Hotel** - 2318
7. **Apartment or Condo** - 1861
8. **Noodle Restaurant** - 1797
9. **Fast Food Restaurant** - 1609
10. **Asian Restaurant** - 1554","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_c07,fsq_shanghai_business_v2,function-calling,"[""category_join"", ""medium""]",False,True,False,True,max_steps,max_steps_reached,True,,5,5,1,0,0,0,5302.801489830017,"SELECT categories.category_name, COUNT(DISTINCT places.fsq_place_id) AS place_count FROM places JOIN place_categories ON places.fsq_place_id = place_categories.fsq_place_id JOIN categories ON place_categories.category_id = categories.category_id WHERE categories.category_name LIKE '%Restaurant%' GROUP BY categories.category_name ORDER BY place_count DESC LIMIT 10;",,"[""inspect_schema"", ""inspect_schema"", ""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_d04,fsq_shanghai_business_v2,function-calling,"[""district"", ""hard""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,6697.333782911301,"SELECT canonical_district, COUNT(DISTINCT places.fsq_place_id) as hotel_count
FROM places
JOIN place_categories ON places.fsq_place_id = place_categories.fsq_place_id
JOIN categories ON place_categories.category_id = categories.category_id
WHERE categories.category_name = 'Hotel'
AND places.canonical_district IS NOT NULL
GROUP BY canonical_district
ORDER BY hotel_count DESC
LIMIT 5;","在能够明确识别所属行政区的地点中，酒店最多的五个区是：

1. **浦东新区 (Pudong)** - 506家
2. **徐汇区 (Xuhui)** - 157家
3. **长宁区 (Changning)** - 155家
4. **黄浦区 (Huangpu)** - 152家
5. **闵行区 (Minhang)** - 42家","[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_c08,fsq_shanghai_business_v2,function-calling,"[""category_join"", ""easy""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,5265.965595841408,"SELECT COUNT(DISTINCT CASE WHEN categories.category_name = 'Hotel' THEN places.fsq_place_id END) AS hotel_count, COUNT(DISTINCT CASE WHEN categories.category_name = 'Coffee Shop' THEN places.fsq_place_id END) AS coffee_shop_count FROM places JOIN place_categories ON places.fsq_place_id = place_categories.fsq_place_id JOIN categories ON place_categories.category_id = categories.category_id;",酒店收录了2318个地点，咖啡店收录了3290个地点。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_s03,fsq_shanghai_business_v2,function-calling,"[""single_table"", ""easy""]",True,True,True,True,,completed,False,True,4,3,2,0,0,0,2213.671863079071,SELECT COUNT(*) FROM places WHERE tel IS NOT NULL AND tel != '';,留下联系电话的地点共有18139家。,"[""execute_sql"", ""inspect_schema"", ""execute_sql""]",
