case_id,dataset_name,agent_mode,tags,protocol_completed,execution_success,answer_grounded,result_correct,failure_kind,termination_reason,first_execution_success,repair_succeeded,total_llm_turns,total_tool_calls,total_sql_executions,invalid_tool_calls,repeated_tool_calls,unsafe_sql_count,total_duration_ms,final_sql,final_answer,actual_tool_sequence,error_message
fsq_s04,fsq_shanghai_business_v2,function-calling,"[""single_table"", ""easy""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,2819.393068552017,SELECT COUNT(*) AS place_count FROM places WHERE date_closed IS NOT NULL AND TRIM(date_closed) <> '',目前记录为已经关闭的地点共有 5522 个。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_a05,fsq_shanghai_business_v2,function-calling,"[""aggregate_topk"", ""medium""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,6023.644536733627,"SELECT substr(date_refreshed, 1, 4) AS refresh_year, COUNT(*) AS place_count FROM places WHERE date_refreshed IS NOT NULL AND TRIM(date_refreshed) <> '' GROUP BY refresh_year ORDER BY refresh_year DESC, place_count DESC LIMIT 5",记录量最多的五个年份是：1. 2026 年（13663 个）；2. 2025 年（15009 个）；3. 2024 年（6719 个）；4. 2023 年（4472 个）；5. 2022 年（2623 个）。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_c05,fsq_shanghai_business_v2,function-calling,"[""category_join"", ""hard""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,8051.752954721451,"SELECT c.category_name, COUNT(DISTINCT p.fsq_place_id) AS place_count FROM places p JOIN place_categories pc ON pc.fsq_place_id = p.fsq_place_id JOIN categories c ON c.category_id = pc.category_id WHERE pc.is_primary = 1 GROUP BY c.category_id ORDER BY place_count DESC LIMIT 10",同时标注多种类型的地点中，前十大类型是：1. Chinese Restaurant（6003 个地点）；2. Office（3172 个地点）；3. Coffee Shop（3050 个地点）；4. Japanese Restaurant（2493 个地点）；5. Hotel（2287 个地点）；6. Café（2180 个地点）；7. Apartment or Condo（1836 个地点）；8. Noodle Restaurant（1616 个地点）；9. Asian Restaurant（1398 个地点）；10. Fast Food Restaurant（1304 个地点）。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_c04,fsq_shanghai_business_v2,function-calling,"[""category_join"", ""medium""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,3929.0920794010162,SELECT COUNT(DISTINCT p.fsq_place_id) AS place_count FROM places p JOIN place_categories pc ON pc.fsq_place_id = p.fsq_place_id GROUP BY p.fsq_place_id HAVING COUNT(*) > 1,被标注为多种类型的地点共有 100 个。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_s06,fsq_shanghai_business_v2,function-calling,"[""single_table"", ""easy""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,3680.4804652929306,"SELECT MAX(date_refreshed) AS last_refresh_date, COUNT(*) AS place_count FROM places WHERE date_refreshed IS NOT NULL AND TRIM(date_refreshed) <> ''",数据库中最近一次地点更新时间为 2026-07-08，当天共有 91770 个地点被更新。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_s01,fsq_shanghai_business_v2,function-calling,"[""single_table"", ""easy""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,2197.005733847618,SELECT COUNT(*) AS place_count FROM places,上海地点库共收录 91770 个地点。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_a02,fsq_shanghai_business_v2,function-calling,"[""aggregate_topk"", ""medium""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,6840.983793139458,"SELECT name, COUNT(*) AS place_count FROM places WHERE name IS NOT NULL AND TRIM(name) <> '' GROUP BY name ORDER BY place_count DESC, name ASC LIMIT 10",重名地点最多的十个名称是：1. 星巴克（518 个）；2. FamilyMart 全家（310 个）；3. McDonald's (麦当劳)（252 个）；4. Starbucks (星巴克)（233 个）；5. Manner Coffee（203 个）；6. LAWSON 罗森（202 个）；7. Industrial and Commercial Bank of China (ICBC) 中国工商银行（164 个）；8. KFC (肯德基)（150 个）；9. 85°C Bakery Café (85度C)（119 个）；10. Costa Coffee 咖世家（103 个）。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_q01,fsq_shanghai_business_v2,function-calling,"[""quality"", ""medium""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,3725.1763492822647,SELECT COUNT(DISTINCT p.fsq_place_id) AS place_count FROM places p LEFT JOIN place_categories pc ON pc.fsq_place_id = p.fsq_place_id WHERE pc.fsq_place_id IS NULL,没有被标注任何分类的地点共有 4615 个。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_q04,fsq_shanghai_business_v2,function-calling,"[""quality"", ""easy""]",True,True,True,False,semantic_mismatch,completed,True,,4,3,1,0,0,0,7445.126131176949,"SELECT fsq_place_id, name, date_closed FROM places WHERE date_closed IS NOT NULL AND TRIM(date_closed) <> '' ORDER BY date_closed DESC LIMIT 10",已关闭地点中，最近关闭的十个地点是：1. Delta Sky Club（2026-07-07）；2. Wagas（2026-07-05）；3. Audemars Piguet Royal Lounge Shop（2026-06-28）；4. Audemars Piguet（2026-06-28）；5. De Kroon / VIP Lounge Netherlands Pavilion（2026-06-22）；6. Zhabei Stadium（2026-06-20）；7. Bi Feng Tang（2026-06-20）；8. Nar Café & Catering（2026-06-18）；9. 水舞馔（2026-06-14）；10. Shanghai Natural History Museum（2026-06-06）。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
fsq_c01,fsq_shanghai_business_v2,function-calling,"[""category_join"", ""medium""]",True,True,True,True,,completed,True,,4,3,1,0,0,0,7892.412111163139,"SELECT c.category_name, COUNT(DISTINCT p.fsq_place_id) AS place_count FROM places p JOIN place_categories pc ON pc.fsq_place_id = p.fsq_place_id JOIN categories c ON c.category_id = pc.category_id WHERE 1 = 1 GROUP BY c.category_id, c.category_name ORDER BY place_count DESC LIMIT 10",上海最常见的十种地点类型是：1. Chinese Restaurant（6715 个）；2. Office（3335 个）；3. Coffee Shop（3290 个）；4. Japanese Restaurant（2758 个）；5. Café（2741 个）；6. Hotel（2318 个）；7. Apartment or Condo（1861 个）；8. Noodle Restaurant（1797 个）；9. Fast Food Restaurant（1609 个）；10. Asian Restaurant（1554 个）。,"[""inspect_schema"", ""validate_sql"", ""execute_sql""]",
